Team,City,Stadium,Capacity,Latitude,Longitude,Country
Le Havre,Le Havre,Stade Océane,25181,49.49934304906166,0.1694097019656739,France
Bayern Munich,Munich ,Allianz Arena ,71000,48.218775,11.624753,Germany
Hertha BSC,Berlin ,Olympiastadion ,74244,52.514722,13.239444,Germany
Hamburger SV,Hamburg ,Imtech Arena ,57000,53.587158,9.898617,Germany
Schalke 04,Gelsenkirchen ,Veltins-Arena ,61673,51.554503,7.067589,Germany
Eintracht Frankfurt,Frankfurt ,Commerzbank-Arena ,51500,50.068572,8.645458,Germany
Bayer Leverkusen,Leverkusen ,BayArena ,30210,51.038256,7.002206,Germany
Werder Bremen,Bremen ,Weserstadion ,42100,53.066394,8.837628,Germany
Hannover 96,Hanover ,HDI-Arena ,49000,52.360067,9.731197,Germany
Mainz 05,Mainz ,Coface Arena ,34000,49.984167,8.224167,Germany
Wolfsburg,Wolfsburg ,Volkswagen Arena ,30000,52.431944,10.803889,Germany
Hoffenheim,Sinsheim ,Rhein-Neckar Arena ,30150,49.239008,8.888281,Germany
Freiburg,Freiburg ,MAGE SOLAR Stadion ,24000,47.988889,7.893056,Germany
Augsburg,Augsburg ,SGL arena ,30660,48.3225,10.882222,Germany
Stuttgart,Stuttgart ,Mercedes-Benz Arena ,60441,48.792269,9.232031,Germany
Dortmund,Dortmund ,Signal Iduna Park ,80645,51.492569,7.451842,Germany
Mönchengladbach,Mönchengladbach ,Borussia-Park ,54010,51.174583,6.385464,Germany
Köln,Cologne ,RheinEnergieStadion ,50000,50.933497,6.874997,Germany
Düsseldorf,Düsseldorf ,Esprit Arena ,54600,51.261667,6.733056,Germany
Nürnberg,Nuremberg ,Grundig-Stadion ,50000,49.426111,11.125833,Germany
Greuther Fürth,Fürth ,Trolli Arena ,18000,49.486944,10.999167,Germany
RB Leipzig,Lipsk,Red Bull Arena,41122,51.34579839182911,12.348453051515396,Germany
Union Berlin,Berlin,Stadion An der Alten Försterei,22012,52.45733522700106,13.568136161118268,Germany
Paderborn 07,Paderborn,Home Deluxe Arena,15000,51.73070968440198,8.711085561208963,Germany
Arminia,Bielefeld,SchücoArena,27332,52.03197958580523,8.51679686332514,Germany
Bochum,Bochum,Vonovia Ruhrstadion,26000,51.48995642845546,7.236621529749656,Germany
Darmstadt 98,Darmstadt,Merck-Stadion am Böllenfalltor,17810,49.85766763935438,8.672384493291567,Germany
Heidenheim,Heidenheim an der Brenz,Voith-Arena,15000,48.66850113118163,10.139340041225434,Germany
Juventus,Turyn,Allianz Stadium,41507,45.10944372301519,7.641270346947611,Italy
Hellas Verona,Werona,Stadio Marcantonio Bentegodi,39211,45.43526901236765,10.968713246451651,Italy
Atalanta,Bergamo,Stadio Atleti Azzurri d’Italia,24000,45.70916187349344,9.680832306550036,Italy
Udinese,Udine,Stadio Friuli,25132,46.081514528126334,13.199942007146976,Italy
Internazionale,Mediolan,Stadio Giuseppe Meazza,75817,45.47808029875659,9.124047119034667,Italy
Milan,Mediolan,San Siro,75817,45.47808029875659,9.124047119034667,Italy
Bologna,Bologna,Stadio Renato Dall’Ara,38279,44.49224001960411,11.310015156738723,Italy
Sampdoria,Genua,Stadio Luigi Ferraris,36599,44.41638016096415,8.952574906333394,Italy
Crotone,Crotone,Stadio Ezio Scida,16547,39.07926544886429,17.11663760914923,Italy
Lazio,Rzym,Stadio Olimpico,70634,41.93382168223143,12.454760791390152,Italy
Roma,Rzym,Stadio Olimpico,70634,41.93382168223143,12.454760791390152,Italy
Sassuolo,Sassuolo,Mapei Stadium – Città del Tricolore,21525,44.71458925961909,10.649644019787916,Italy
Genoa,Genua,Stadio Luigi Ferraris,36599,44.41638,8.952575,Italy
Benevento,Benevento,Stadio Ciro Vigorito,16867,41.11652416856862,14.781162154366582,Italy
Torino,Turyn,Stadio Olimpico di Torino,28177,45.04158365286055,7.65017535100985,Italy
SPAL,Ferrara,Stadio Paolo Mazza,16134,44.8401649445956,11.608015053947438,Italy
Napoli,Neapol,Stadio Diego Armando Maradona,54732,40.82788191775958,14.193112031859007,Italy
Fiorentina,Florencja,Stadio Artemio Franchi,43147,43.780889677167394,11.282809829251615,Italy
Chievo,Werona,Stadio Marcantonio Bentegodi,39211,45.435269,10.968713,Italy
Cagliari,Cagliari,Sardegna Arena,16412,39.19947951572476,9.134778528473904,Italy
Empoli,Empoli,Stadio Carlo Castellani,16167,43.726481235601575,10.954988721114388,Italy
Parma,Parma,Stadio Ennio Tardini,22352,44.79484525764812,10.338484947309311,Italy
Frosinone,Frosinone,Stadio Comunale (Frosinone),9680,41.63417242189721,13.32195210365387,Italy
Lecce,Lecce,Stadio Via del Mare,31461,40.36501811705576,18.209100393589207,Italy
Brescia,Brescia,Stadio Mario Rigamonti,19550,45.570279654041656,10.237064020081702,Italy
Spezia,La Spezia,Stadio Alberto Picco,11676,44.102119915311135,9.80865263242914,Italy
Salernitana,Salerno,Stadio Arechi,29739,40.645484205569446,14.823584175222845,Italy
Venezia,Wenecja,Stadio Pier Luigi Penzo,11150,45.42771392790211,12.364003256132946,Italy
Monza,Monza,Stadio Brianteo,17102,45.58296672051714,9.307986644856728,Italy
Cremonese,Cremona,Stadio Giovanni Zini,15191,45.14009925155063,10.035013292322231,Italy
Luton Town,Luton,Kenilworth Road,10265,51.884166666666665,-0.4316666666666667,England
Sheffield United,Sheffield,Bramall Lane,32050,53.37027777777778,-1.4708333333333334,England
Chelsea,London,Stamford Bridge,40173,51.48166666666667,-0.1911111111111111,England
Manchester City,Manchester,Maine Road,35150,53.45111111111111,-2.2352777777777777,England
Brentford,London,Brentford Community Stadium,17250,51.490825,-0.2887,England
Burnley,Burnley,Turf Moor,21744,53.78916666666667,-2.230277777777778,England
Brighton & Hove Albion,Falmer,Falmer Stadium,31876,50.86182222222222,-0.08327777777777778,England
Liverpool,Liverpool,Anfield,61276,53.43083333333333,-2.9608333333333334,England
Crystal Palace,London,Selhurst Park,25486,51.39833333333333,-0.08555555555555555,England
Arsenal,London,Emirates Stadium,60704,51.555,-0.10861111111111112,England
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,31750,52.59027777777778,-2.1302777777777777,England
Fulham,London,Craven Cottage,24500,51.475,-0.22166666666666668,England
West Ham United,London,Boleyn Ground(also known as Upton Park),35345,51.53194444444444,0.03944444444444444,England
Aston Villa,Birmingham,Villa Park,42530,52.509166666666665,-1.8847222222222222,England
Manchester United,Manchester,Old Trafford,74031,53.463055555555556,-2.2913888888888887,England
Tottenham Hotspur,London,Tottenham Hotspur Stadium,62850,51.60472222222222,-0.06638888888888889,England
Newcastle United,Newcastle upon Tyne,St James' Park,52257,54.97555555555556,-1.6216666666666666,England
Bournemouth,Bournemouth,Dean Court,11307,50.73527777777778,-1.8383333333333334,England
Everton,Liverpool,Goodison Park,39414,53.43888888888888,-2.966388888888889,England
Nottingham Forest,Nottingham,City Ground,30404,52.94,-1.1327777777777779,England
Southampton,Southampton,The Dell,15200,50.914722222222224,-1.4130555555555555,England
Leeds United,Leeds,Elland Road,37792,53.464,-1.342,England
Leicester City,Leicester,King Power Stadium,32261,52.6205,-1.1425,England
Watford,Watford,Vicarage Road,22200,51.65,-0.40166666666666667,England
Norwich City,Norwich,Carrow Road,27300,52.372,1.1833,England
West Bromwich Albion,West Bromwich,The Hawthorns,26688,52.3033,-1.575,England
Cardiff City,Cardiff,Cardiff City Stadium,33280,51.40703,-3.2018,England
Huddersfield Town,Huddersfield,John Smith's Stadium,24121,53.6542,-1.7692,England
Ipswich Town, Ipswich, Portman Road, 30017, 52.055, 1.144722, England
Swansea City, Swansea, Swansea.com, 21088, 51.642778, -3.934444, England
Stoke City, Stoke, Bet365 Stadium, 28383, 52.995556, -2.175278, England
St. Pauli, Hamburg, Millerntor-Stadion, 29546, 53.554444, 9.9675, Germany
Holstein Kiel, Kiel, Holstein-Stadion, 15034, 54.323334, 10.139444, Germany
Como, Como, Stadio Giuseppe Sinigaglia, 13602, 45.813611, 9.072222, Italy
